review_id,review
59,quán ở trung tâm có đồ ăn ngon nêm nếm vừa miệng khẩu phần đủ ăn món thiên về đồ thái nên khá dễ ăn không gian hiện tại còn đang sửa chữa khá nhiều nên trải nghiệm chưa trọn vẹn lắm nhưng chất lượng món ăn thì ổn và đáng để thử nếu bạn đang ở khu trung tâm
60,đồ ăn là các món thái ăn cũng vừa miệng thui không quá xuất sắc nè nhưng điểm nổi bật là vibes dễ thương núp hẻm rất là bình yên của quán vị trí ở trung tâm dễ tìm biết tới quán từ năm trước rồi giờ quay lại quán vẫn đông khách du lịch
61,quán trong con hẻm cực nhỏ trên đường pasteur gần lê lợi nhân viên dễ thương đồ ăn ra cũng nhanh điểm trừ là gửi xe tính phí nha
62,các món ăn hợp khẩu vị nhưng không quá đặc sắc lên món nhanh nhân viên nhiệt tình xôi xoài và các món nước ngon quán nằm trong hẻm nhỏ gửi xe đầu hẻm
63,không gian quán ấm cúng mở nhạc thái vui vui nhóm order món lượng đồ ăn nhiều và khá hợp khẩu vị tráng miệng xôi xoài ngon
64,nhân viên dễ thương không gian rộng rãi okay tuy nhiên menu giá khá cao so với chất lượng lúc trước mình từng ăn vài lần tuy giá cao nhưng chất lượng vẫn còn ổn lần này quay lại thấy không còn được như trước nữa giữ xe bên ngoài quán không quán có hỗ trợ không nè
65,về thức ăn ai không ăn cay được nhớ giảm cay lại ngoài ra vị không ngon cũng không tệ ở mức ổn thích mỗi xôi xoài view quán bình thường không có gì đặc sắc
66,mình ăn quán thái nhiều rồi thấy bên đây booking review quá trời nên cũng thử với hy vọng sẽ wow nhưng không đồ ăn thì bình thường cảm giác nó bị thường lắm chua cay như mì gói tự pha mình đi người gọi món và nước bill hơn không trong khi những quán thái khác thật sự giá tốt ngon phụ vụ đỉnh ở đây ăn mắc không ngon còn thu tiền gửi xe không ý là thấy kì cục lắm luôn á
67,quán decor đẹp không khí ấm cúng trong ngày mưa nhân viên rất nhiệt tình hỗ trợ nhóm mình đồ ăn bắt mắt ngon miệng mình sẽ quay lại với ny
68,đồ ăn ngon nha không gian đẹp và nhân viên dễ thương
69,nhà hàng nằm trong hẻm nhỏ giữ xe không nhà hàng cũng nhỏ khoảng bàn cho nhóm người không gian ấm cúng phù hợp hẹn hò mỗi bàn có kiểu đèn riêng mở nhạc trẻ nhẹ nhàng lên món nhanh mình gọi món gỏi xoài cá trê và miến hải sản súp chua cay phần ăn cũng nhiều đi ít nên cân nhắc mặc dù mình đã dặn ít cay cho phần miến hải sản nhưng vẫn quá cay so với mình giá cả hợp lý nhân viên dễ thương lịch sự ghế ngồi có nệm êm và tựa lưng trang bị giấy ăn cho khách thoải mái không ép sử dụng khăn giấy ướt nhà vệ sinh tạm được chỗ rửa tay nhỏ quá hơi khó chịu thanh toán chỉ chuyển khoản không quẹt thẻ mình đến lúc h tối khá vắng khách có nhắn tin để đặt bàn qua zalo nhưng nhà hàng không hồi âm nhà hàng đang có chương trình tặng trái dừa tươi cho lượt đánh giá sao trên google map nhưng mình công tâm lắm không dễ dụ đâu
70,quán bếp sử dụng học việc là chủ yếu khách không quá đông nhưng đợi món quá lâu khi mang món ra cà ri gà thì gà còn sống cà pháo cũng không chín sống nhăn và đắng ngắt giá món cũng quá cao so với somthai hoặc một vài nhà hàng ở quận nói chung không nên trải nghiệm ở đây
71,đồ ăn lúc nào cũng ngon lên món nhanh nhân viên dễ thương
72,đồ ăn ngon quán ăn sang trọng nhân viên phục vụ tốt tất cả các món này đều được trình bày đẹp mắt và hấp dẫn những đánh giá của bạn về đồ ăn ngon không gian đẹp và nhân viên thân thiện cho thấy đây là một quán ăn chất lượng đáng để ghé thăm
73,đồ ăn siêu ngon có thể ăn tuần ngày được luôn recommend gỏi cá trê điểm
74,chưa kịp ăn đã phải bỏ về vì thái độ quá tệ vào order p nhân viên nhảy nhảy giỡn giỡn lâu quá kêu lại hỏi thì mặt mới cười sượng nói bếp đang làm p nữa có sau đó hỏi lại bill mình order phải mấy món đó không là sắp làm xong dữ chưa lông mày skinship vì quá bực trong khi quán cũng chẳng đông khách đồ thì mắc giữ xe thì tốn tiền đường lên cũng chẳng có ai hướng dẫn làm đi nhầm qua p bên cạnh nói chung làm hỏng hết mood đi chơi ngày cuối cùng của năm nếu có sao là chọn rồi đó cảm ơn quán đã cho cái trải nghiệm tuyệt vời này
75,đồ ăn khá vừa miệng với người việt khẩu phần to giá hợp lý hợp đi nhóm bạn hoặc hẹn hò cũng okie
76,cắn quảng cáo trên facebook đúng lúc thèm sườn cay đã mang tôi tới đây quán nằm trong ngõ nhỏ nhắn xinh xắn chill chill decor xinh không quá đông người đúng kiểu nơi trốn mình đi người gọi phần sườn cay phần heo bằm lá quế hủ tiếu hải sản đậu hũ non xốt me xôi xoài sườn siêu to ăn không quá cay cay nữa thì ngon ạ xì xụp xì xụp hủ tiếu hải sản cũng ngon không quá cay đậu hũ non khai vị và xôi xoài cũng okie lah nhưng rất rất recommend món sườn và hủ tíu ạ các bạn nhân viên cũng dễ thương vui vẻ lâu lâu đi ăn cùng bạn bè treat day cũng khá thú zi ạ
77,món ăn lên nhanh p đồ ăn ngon đẹp mắt không gian quán hợp các buổi ăn thân mật
78,lần nào mình vào Sài Gòn mình cũng phải ghé quán vì quá hợp khẩu vị của mình curry đậm đà vừa phải thịt thì rất mềm và xém thơm
79,không gian thân thiện món ăn vừa khẩu vị sẽ quay lại lần sau
80,khẩu phần ăn nhiều nhân viên thân thiện nhiệt tình không gian yên tĩnh nhạc hay
81,quán đẹp view cũng chill đồ ăn chuẩn thái nha mọi người
82,tới đây ăn đỡ tốn triệu đi thái mà vẫn có đồ ăn siêu chuẩn vị nha bà con món lên nhanh không delay như hãng bay nào đó
